GENE	BF
ANKEF1	-7.007
ANKFN1	-9.053
ANKFY1	-7.155
ANKH	-5.135
ANKHD1	-6.716
ANKIB1	-2.102
ANKK1	-0.890
ANKLE1	-2.186
ANKLE2	1.555
ANKMY1	-8.186
ANKMY2	-4.169
ANKRA2	-11.221
ANKRD1	-5.066
ANKRD10	-9.615
ANKRD11	-5.649
ANKRD12	-13.207
ANKRD13A	-9.389
ANKRD13B	-4.379
ANKRD13C	-8.581
ANKRD13D	-12.222
ANKRD16	-1.924
ANKRD17	-0.203
ANKRD18A	-4.895
ANKRD18B	-8.990
ANKRD2	-7.411
ANKRD20A2	1.534
ANKRD22	-11.084
ANKRD23	-9.361
ANKRD24	-6.858
ANKRD26	-6.933
ANKRD27	-12.799
ANKRD28	-11.277
ANKRD29	-14.595
ANKRD30A	-11.581
ANKRD30B	-9.970
ANKRD31	-3.583
ANKRD33	-7.552
ANKRD33B	-7.421
ANKRD34A	-4.325
ANKRD34B	-7.080
ANKRD34C	-8.440
ANKRD35	-16.236
ANKRD36	-9.140
ANKRD36B	-8.005
ANKRD36C	-3.105
ANKRD37	-5.281
ANKRD39	-1.725
ANKRD40	-4.110
ANKRD42	-2.878
ANKRD44	-12.122
ANKRD45	-8.469
ANKRD46	-12.753
ANKRD49	-7.294
ANKRD50	-3.710
ANKRD52	-4.874
ANKRD53	-10.030
ANKRD54	-6.514
ANKRD55	-4.240
ANKRD6	-7.042
ANKRD60	-6.740
ANKRD61	-10.998
ANKRD62	-8.569
ANKRD63	-6.697
ANKRD65	-7.902
ANKRD66	-8.931
ANKRD7	-8.247
ANKRD9	-8.430
ANKS1A	-6.562
ANKS1B	-6.397
ANKS3	-6.281
ANKS4B	-7.918
ANKS6	-4.205
ANKUB1	-2.605
ANKZF1	-7.271
ANLN	3.273
ANO1	-4.633
ANO10	-6.940
ANO2	-6.565
ANO3	-6.383
ANO4	-8.446
ANO5	-3.127
ANO6	-6.379
ANO7	-3.961
ANO8	-4.163
ANO9	-5.095
ANOS1	-5.915
ANP32A	-6.451
ANP32B	-4.920
ANP32D	-13.877
ANP32E	-0.748
ANPEP	-2.718
ANTKMT	-3.723
ANTXR1	-13.567
ANTXR2	-9.659
ANTXRL	-7.902
ANXA1	-2.659
ANXA10	-4.737
ANXA11	-3.971
ANXA13	-2.853
ANXA2	-5.092
ANXA2R	-6.081
ANXA3	-8.799
ANXA4	-11.387
ANXA5	-11.093
ANXA6	-11.934
ANXA7	-10.068
ANXA8	-6.134
ANXA8L1	-7.482
ANXA9	-4.307
AOAH	-6.643
AOC1	-7.004
AOC2	-6.346
AOC3	3.201
AOPEP	-2.912
AOX1	-12.137
AP1AR	-5.210
AP1B1	-5.542
AP1G1	-13.675
AP1G2	-9.115
AP1M1	-6.103
AP1M2	-4.748
AP1S1	-9.234
AP1S2	-7.821
AP1S3	-7.437
AP2A1	-3.590
AP2A2	-12.148
AP2B1	-3.084
AP2M1	-7.694
AP2S1	-3.275
AP3B1	-6.774
AP3B2	-0.533
AP3D1	-6.546
AP3M1	-11.153
AP3M2	-8.415
AP3S1	-5.321
AP3S2	-1.171
AP4B1	-4.832
AP4E1	-1.878
AP4M1	-9.957
AP4S1	-3.478
AP5B1	-5.273
AP5M1	-5.523
AP5S1	-12.476
AP5Z1	-11.789
APAF1	-3.342
APBA1	-5.838
APBA2	-4.861
APBA3	-2.900
APBB1	-7.584
APBB1IP	-13.884
APBB2	-12.039
APBB3	-4.948
APC	-4.288
APC2	-3.198
APCDD1	-1.845
APCDD1L	-5.954
APCS	-6.272
APEH	-7.222
APELA	-8.305
APEX1	-5.189
APEX2	-3.234
APH1A	-4.840
APH1B	-6.395
API5	-0.958
APIP	-13.654
APLF	-3.789
APLN	-4.817
APLNR	-4.332
APLP1	-6.186
APLP2	-10.350
APMAP	-9.858
APOA1	-6.777
APOA2	-4.022
APOA4	-8.623
APOA5	-5.938
APOB	-11.755
APOBEC1	-11.476
APOBEC2	-1.604
APOBEC3A	-7.411
APOBEC3B	-3.954
APOBEC3C	-6.900
APOBEC3D	-13.183
APOBEC3F	-5.023
APOBEC3G	-6.065
