GENE	BF
ANKRD7	-22.929
ANKRD9	-13.340
ANKS1A	-12.576
ANKS1B	-23.522
ANKS3	-15.730
ANKS4B	-20.719
ANKS6	-12.900
ANKUB1	-7.316
ANKZF1	-13.009
ANLN	3.158
ANO1	-15.935
ANO10	-13.477
ANO2	-20.160
ANO3	-14.255
ANO4	-23.861
ANO5	-13.902
ANO6	-18.021
ANO7	-15.267
ANO8	-9.773
ANO9	-16.484
ANOS1	-20.374
ANP32A	-17.289
ANP32B	-17.004
ANP32D	-26.874
ANP32E	-4.809
ANPEP	-7.742
ANTKMT	-12.758
ANTXR1	-33.036
ANTXR2	-16.489
ANTXRL	-21.058
ANXA1	-17.517
ANXA10	-16.302
ANXA11	-14.042
ANXA13	-13.536
ANXA2	-14.343
ANXA2R	-14.429
ANXA3	-21.182
ANXA4	-21.871
ANXA5	-27.041
ANXA6	-27.457
ANXA7	-20.240
ANXA8	-19.468
ANXA8L1	-27.720
ANXA9	-12.231
AOAH	-24.092
AOC1	-24.662
AOC2	-16.289
AOC3	4.524
AOPEP	-13.956
AOX1	-29.032
AP1AR	-19.322
AP1B1	-17.899
AP1G1	-24.594
AP1G2	-13.977
AP1M1	-9.858
AP1M2	-6.045
AP1S1	-22.622
AP1S2	-19.260
AP1S3	-24.052
AP2A1	-7.220
AP2A2	-27.995
AP2B1	-6.719
AP2M1	-14.827
AP2S1	-6.065
AP3B1	-16.594
AP3B2	-11.671
AP3D1	-20.932
AP3M1	-21.926
AP3M2	-20.933
AP3S1	-15.804
AP3S2	-10.551
AP4B1	-24.058
AP4E1	-6.319
AP4M1	-26.941
AP4S1	-13.423
AP5B1	-10.230
AP5M1	-16.787
AP5S1	-23.838
AP5Z1	-20.332
APAF1	-6.261
APBA1	-13.788
APBA2	-15.803
APBA3	-2.510
APBB1	-15.674
APBB1IP	-28.575
APBB2	-29.820
APBB3	-16.912
APC	-14.997
APC2	-10.418
APCDD1	-7.552
APCDD1L	-14.969
APCS	-20.174
APEH	-15.197
APELA	-27.946
APEX1	-21.932
APEX2	-5.552
APH1A	-11.974
APH1B	-17.634
API5	-2.484
APIP	-18.840
APLF	-16.954
APLN	-20.946
APLNR	-10.771
APLP1	-12.720
APLP2	-24.304
APMAP	-17.291
APOA1	-19.406
APOA2	-22.783
APOA4	-17.583
APOA5	-14.217
APOB	-24.952
APOBEC1	-24.153
APOBEC2	-18.203
APOBEC3A	-8.243
APOBEC3B	-7.883
APOBEC3C	-7.091
APOBEC3D	-37.425
APOBEC3F	-12.881
APOBEC3G	-18.197
APOBEC3H	-11.835
APOBEC4	-11.235
APOBR	-7.698
APOC1	-13.151
APOC2	-23.265
APOC3	-10.817
APOC4	-21.999
APOD	-7.797
APOE	-13.181
APOF	-11.876
APOH	-23.246
APOL1	-21.396
APOL2	-12.504
APOL3	-8.350
APOL4	-20.770
APOL5	-6.472
APOL6	-22.845
APOLD1	-22.024
APOM	-16.631
