DLX4,-0.008811147
MIGA1,-0.000330198
FAM104A,-0.001501949
AACS,-0.005394582
BMT2,-0.004370503
NIPA2,-0.001282823
GBF1,-0.00067871
RNPEP,-0.001480678
NEXN,-0.00107975
DCUN1D2,-0.000584531
SCN3B,-0.00262311
NAT8L,-0.001275628
DCAF12L2,-0.002088671
ZNF468,-0.001853152
C11orf71,-0.001028886
RNF208,-0.000959696
CIB1,-0.000423467
SDC3,-0.002663935
TMEM132C,-0.001225607
PLTP,-0.00197295
KTN1,-0.002315291
CYGB,-0.000662316
CYP2A6,-0.000883689
CCDC74B,-0.001387713
SH3BP4,-0.007606136
DMAC2,-0.000890864
SRP9,-0.000968956
XPC,-0.000446563
EIF2S1,-0.002992112
ARCN1,-0.004059436
GDNF,-0.000564454
GXYLT2,-0.001522519
LYSMD4,-0.000359718
MKI67,-0.001239594
PATE3,-0.002308466
HMGN1,-0.001126784
LRRC37A,-0.00067904
CELSR1,-0.001704383
RFX1,-0.004688184
PPDPFL,-0.000909874
GDF11,-0.011822584
FEM1A,-0.003346421
ZBTB26,-0.001144693
ASF1B,-0.000678275
PLA2G6,-0.002244061
TMED9,-0.000873907
MRPL48,-0.000503684
ALPI,-0.001568246
ALG13,-0.001926581
KCNC1,-0.001145496
MYL6B,-0.001214772
AP3D1,-0.000693924
ARHGAP45,-0.007082205
DOK7,-0.000852823
ASIC5,-0.000898779
IK,-0.001751237
SPO11,-0.001260432
CFD,-0.001756282
SFT2D3,-0.001666673
PIH1D3,-0.002269938
TMEM164,-0.000198069
SMG6,-0.000806889
FHDC1,-0.000339834
CTF1,-0.001541513
RNFT2,-0.003659338
TMEM45A,-0.000743966
CXCR3,-0.002182019
USP6NL,-0.000889247
NAGLU,-0.000583663
SOX1,-0.00343606
PKN1,-0.000664955
MAPRE2,-0.00087287
SS18L1,-0.001322351
PRG2,-0.001929653
NPRL2,-0.001070909
OR7C1,-0.001387944
ADAP2,-0.001289217
MYO3B,-0.006208952
SAFB,-0.002466104
TMEM69,-0.003494718
ZNF341,-0.000546855
SLC25A44,-0.000963715
HACD1,-0.004487375
NEGR1,-0.001326623
HTT,-0.001797678
UPK3BL1,-0.001197221
TBC1D10B,-0.000723796
TMCO1,-0.000998818
NPEPL1,-0.001626004
CENPB,-0.000624256
PRRG2,-0.001073256
HOXB2,-0.005643575
FCN2,-0.001817757
RANGAP1,-0.002508555
FGG,-0.000862979
ANKRD49,-0.002036242
TAS2R60,-0.000541714
GCC2,-0.001906683
SERINC5,-0.001954181
EPHB2,-0.000417293
TST,-0.001089767
BTNL9,-0.000541658
ZNF600,-0.001249375
FAM207A,-0.008552575
HOMER3,-0.003217432
MARVELD1,-0.003550829
ASB4,-0.00222425
HTR5A,-0.001179179
PEAK3,-0.000718798
B3GAT2,-0.001723549
PPP1R14C,-0.00099029
CNOT6L,-0.001578571
MB21D2,-0.000475845
UBTF,-0.001379459
SNX2,-0.002147121
H4C6,-0.001490848
PAGE3,-0.001237877
GNG10,-0.000943435
IPCEF1,-0.001060796
VASN,-0.00072992
FAM86B2,-0.001049766
IRAK2,-0.00141493
MTFMT,-0.005118639
COX16,-0.00043096
SMIM4,-0.003606943
SPOCK1,-0.001047377
LEFTY1,-0.001839395
ARHGAP17,-0.001141569
TTC29,-0.002967583
PRKN,-0.00127125
TKT,-0.001336405
