GENE	BF
ANG	-5.090
ANGEL1	-8.079
ANGEL2	-8.988
ANGPT1	-7.321
ANGPT2	-8.971
ANGPT4	-18.569
ANGPTL1	-13.296
ANGPTL2	-13.226
ANGPTL3	-13.760
ANGPTL4	-9.917
ANGPTL5	-17.271
ANGPTL6	0.537
ANGPTL7	-11.793
ANGPTL8	-14.767
ANHX	-9.480
ANK1	-5.541
ANK2	-7.312
ANK3	-12.809
ANKAR	-12.600
ANKDD1A	-10.001
ANKDD1B	-7.163
ANKEF1	-12.259
ANKFN1	-7.730
ANKFY1	-11.104
ANKH	-7.694
ANKHD1	-5.997
ANKIB1	-17.835
ANKK1	-10.140
ANKLE1	-7.246
ANKLE2	16.368
ANKMY1	-5.417
ANKMY2	-14.603
ANKRA2	-11.168
ANKRD1	-14.491
ANKRD10	-13.480
ANKRD11	-18.310
ANKRD12	-14.929
ANKRD13A	-13.322
ANKRD13B	-7.112
ANKRD13C	-16.364
ANKRD13D	-11.912
ANKRD16	-11.917
ANKRD17	-3.310
ANKRD18A	-14.455
ANKRD18B	-5.583
ANKRD2	-5.648
ANKRD20A2	9.653
ANKRD22	-13.529
ANKRD23	-13.450
ANKRD24	-7.592
ANKRD26	-11.629
ANKRD27	-9.893
ANKRD28	-13.015
ANKRD29	-7.043
ANKRD30A	-17.790
ANKRD30B	-13.464
ANKRD31	-15.086
ANKRD33	-8.679
ANKRD33B	-8.825
ANKRD34A	-9.991
ANKRD34B	-10.394
ANKRD34C	-9.073
ANKRD35	-13.150
ANKRD36	-8.546
ANKRD36B	-11.572
ANKRD36C	-6.337
ANKRD37	-19.127
ANKRD39	-5.087
ANKRD40	-8.849
ANKRD42	-13.670
ANKRD44	-7.996
ANKRD45	-14.454
ANKRD46	-13.724
ANKRD49	-9.430
ANKRD50	-17.724
ANKRD52	-7.537
ANKRD53	-6.664
ANKRD54	-7.578
ANKRD55	-6.182
ANKRD6	-9.338
ANKRD60	-8.966
ANKRD61	-13.991
ANKRD62	-11.182
ANKRD63	-13.708
ANKRD65	-10.730
ANKRD66	-16.323
ANKRD7	-12.738
ANKRD9	-9.064
ANKS1A	-4.035
ANKS1B	-13.357
ANKS3	-8.208
ANKS4B	-9.396
ANKS6	-15.389
ANKUB1	-10.501
ANKZF1	-8.860
ANLN	5.084
ANO1	-12.942
ANO10	-9.399
ANO2	-20.161
ANO3	-11.389
ANO4	-17.292
ANO5	-9.764
ANO6	-13.706
ANO7	-7.876
ANO8	-8.971
ANO9	-12.956
ANOS1	-13.140
ANP32A	-6.154
ANP32B	-9.784
ANP32D	-13.025
ANP32E	-4.604
ANPEP	-3.695
ANTKMT	-10.517
ANTXR1	-12.744
ANTXR2	-9.413
ANTXRL	-17.473
ANXA1	-16.638
ANXA10	-10.086
ANXA11	-8.953
ANXA13	-8.353
ANXA2	-11.857
ANXA2R	-6.952
ANXA3	-7.781
ANXA4	-9.896
ANXA5	-15.792
ANXA6	-15.042
ANXA7	-8.833
ANXA8	-17.643
ANXA8L1	-10.001
ANXA9	-6.086
AOAH	-14.459
AOC1	-17.042
AOC2	-5.346
AOC3	-4.062
AOPEP	-11.434
AOX1	-12.563
AP1AR	-13.373
AP1B1	-10.496
AP1G1	-5.533
AP1G2	-4.683
AP1M1	0.469
AP1M2	-4.807
AP1S1	-13.107
AP1S2	-10.530
AP1S3	-10.519
AP2A1	-6.771
AP2A2	-8.578
AP2B1	-1.591
AP2M1	-5.309
AP2S1	-3.778
AP3B1	-6.782
AP3B2	-4.612
AP3D1	-11.551
AP3M1	-12.521
AP3M2	-8.936
AP3S1	-8.594
AP3S2	-7.703
AP4B1	-20.066
AP4E1	-4.512
AP4M1	-13.332
AP4S1	-5.856
AP5B1	1.314
AP5M1	-12.375
AP5S1	-13.389
AP5Z1	-13.422
APAF1	-14.575
APBA1	-11.757
APBA2	-6.756
APBA3	-6.750
APBB1	-11.424
APBB1IP	-14.493
APBB2	-12.830
APBB3	-17.441
APC	-9.896
APC2	-8.762
APCDD1	-8.872
APCDD1L	-9.426
APCS	-16.279
APEH	-6.870
APELA	-15.273
APEX1	-9.490
APEX2	-2.169
APH1A	-10.400
APH1B	-7.445
API5	1.567
APIP	-12.067
APLF	-9.184
APLN	-14.658
APLNR	-11.578
APLP1	-4.070
APLP2	-12.554
APMAP	-9.772
APOA1	-4.738
APOA2	-13.212
APOA4	-13.528
APOA5	-4.022
APOB	-15.227
APOBEC1	-9.285
APOBEC2	-11.233
APOBEC3A	-5.493
APOBEC3B	-8.766
APOBEC3C	-8.403
APOBEC3D	-16.811
APOBEC3F	-9.250
APOBEC3G	-13.879
APOBEC3H	-7.371
APOBEC4	-7.592
APOBR	-10.308
APOC1	-5.681
APOC2	-11.433
APOC3	-10.623
APOC4	-18.016
APOD	2.477
APOE	-10.768
APOF	-5.540
APOH	-12.364
APOL1	-13.148
APOL2	-8.645
APOL3	-8.814
APOL4	-16.052
APOL5	-10.143
APOL6	-10.965
APOLD1	-7.600
APOM	-13.709
APOO	-8.180
APOOL	-8.148
APP	-10.922
APPBP2	-12.452
APPL1	-11.021
APPL2	-10.600
APRT	-9.641
APTX	-21.234
AQP1	-10.818
AQP10	-5.936
AQP11	-8.975
AQP12A	-10.679
AQP12B	-15.979
AQP2	-11.751
AQP3	-9.498
AQP4	-12.776
AQP5	-9.317
AQP6	-4.136
AQP7	-11.602
AQP8	-9.291
AQP9	-7.530
AQR	26.311
AR	-9.496
ARAF	-6.407
ARAP1	-12.343
ARAP2	-14.245
ARAP3	-7.986
ARC	-7.215
ARCN1	10.319
AREG	-11.149
AREL1	-9.497
ARF1	30.240
ARF3	-7.597
ARF4	-4.801
ARF5	-15.559
ARF6	1.850
ARFGAP1	-7.304
ARFGAP2	-7.108
ARFGAP3	-6.642
ARFGEF1	-10.562
ARFGEF2	-1.334
ARFGEF3	-8.589
ARFIP1	-11.382
ARFIP2	-12.333
ARFRP1	-2.262
ARG1	-17.260
ARG2	-12.547
ARGFX	-5.107
ARGLU1	7.037
ARHGAP1	-12.517
ARHGAP10	-15.173
ARHGAP11A	-6.819
ARHGAP11B	-3.468
ARHGAP12	-8.242
ARHGAP15	-14.433
ARHGAP17	-22.752
ARHGAP18	-18.927
ARHGAP19	0.494
ARHGAP20	-9.401
ARHGAP21	-17.180
ARHGAP22	-12.061
ARHGAP23	-8.625
ARHGAP24	-6.078
ARHGAP25	-17.006
ARHGAP26	-15.792
ARHGAP27	-4.109
ARHGAP28	-6.437
ARHGAP29	-9.483
ARHGAP30	-11.346
ARHGAP31	-14.338
ARHGAP32	-6.068
ARHGAP33	-10.612
ARHGAP35	-2.098
ARHGAP36	-11.311
ARHGAP39	-11.807
ARHGAP4	-11.164
ARHGAP40	-4.395
ARHGAP42	-4.886
ARHGAP44	-7.232
ARHGAP45	-13.785
ARHGAP5	-8.695
ARHGAP6	-13.583
ARHGAP8	-16.822
ARHGAP9	0.222
ARHGDIA	-17.483
ARHGDIB	-11.295
ARHGDIG	-10.334
ARHGEF1	-10.821
ARHGEF10	-19.264
ARHGEF10L	-3.215
ARHGEF11	-18.573
ARHGEF12	-12.116
ARHGEF15	-14.636
ARHGEF16	-6.941
ARHGEF17	-9.971
ARHGEF18	-12.833
ARHGEF19	-15.854
ARHGEF2	-3.193
ARHGEF25	-12.021
ARHGEF26	-9.430
ARHGEF28	-9.739
ARHGEF3	-17.314
ARHGEF33	-11.558
ARHGEF35	-5.291
ARHGEF37	-3.917
ARHGEF38	-11.095
ARHGEF39	-13.259
ARHGEF4	-14.018
ARHGEF40	-12.755
ARHGEF5	-5.172
ARHGEF6	-7.461
ARHGEF7	-8.895
ARHGEF9	-13.475
ARID1A	-3.406
ARID1B	-8.066
ARID2	5.335
ARID3A	-13.150
ARID3B	-10.595
ARID3C	-12.526
ARID4A	-13.855
ARID4B	-7.191
ARID5A	-10.954
ARID5B	-12.891
ARIH1	11.861
ARIH2	-13.866
ARIH2OS	-5.665
ARL1	-10.428
ARL10	-7.022
ARL11	-7.945
ARL13A	-7.234
ARL13B	-12.564
ARL14	-17.967
ARL14EP	-9.118
ARL14EPL	-10.389
ARL15	-11.249
ARL16	-7.142
ARL17A	-7.849
ARL17B	-9.398
ARL2	-0.621
ARL2BP	-14.688
ARL3	-2.804
ARL4A	-7.338
ARL4C	-11.509
ARL4D	-5.723
ARL5A	-16.601
ARL5B	-4.007
ARL5C	-6.325
ARL6	-12.138
ARL6IP1	-16.413
ARL6IP4	-12.717
ARL6IP5	-14.054
ARL6IP6	-5.109
ARL8A	-3.586
ARL8B	-9.333
ARL9	-12.022
ARMC1	-11.949
ARMC10	-7.412
ARMC12	-13.613
ARMC2	-10.774
ARMC3	-11.150
ARMC4	-16.469
ARMC5	-9.047
ARMC6	-1.892
ARMC7	14.798
ARMC8	-7.559
ARMC9	-9.094
ARMCX1	-7.727
ARMCX2	-12.755
ARMCX3	-16.206
ARMCX4	-6.331
ARMCX5	-8.821
ARMCX6	-7.796
ARMH1	-14.753
ARMH2	-11.393
ARMH3	-4.013
ARMH4	-7.052
ARMS2	-12.956
ARMT1	-20.273
ARNT	34.087
ARNT2	0.556
ARNTL	-12.416
ARNTL2	-10.019
ARPC1A	-1.213
ARPC1B	-2.840
ARPC2	-2.246
ARPC3	-8.630
ARPC4	7.861
ARPC5	-10.003
ARPC5L	-11.991
ARPIN	-8.546
ARPP19	1.906
ARPP21	-21.615
ARR3	-9.954
ARRB1	-15.287
ARRB2	-9.970
ARRDC1	0.788
ARRDC2	-6.718
ARRDC3	5.325
ARRDC4	-13.890
ARRDC5	-7.089
ARSA	4.524
ARSB	-11.690
ARSD	-9.438
ARSF	-12.624
ARSG	-7.738
ARSH	-12.403
ARSI	-5.770
ARSJ	-13.162
ARSK	-14.154
ARSL	-9.554
ART1	-4.791
ART3	-12.721
ART4	-16.215
ART5	-7.806
ARTN	-11.354
ARV1	-13.920
ARVCF	-4.390
ARX	-9.864
AS3MT	-8.576
ASAH1	-16.712
ASAH2	-9.754
ASAH2B	-14.208
ASAP1	-10.417
ASAP2	-9.079
ASAP3	-12.982
ASB1	-12.259
ASB10	-12.647
ASB11	-10.059
ASB12	-9.621
ASB13	-5.879
ASB14	-13.352
ASB15	-12.276
ASB16	-10.115
ASB17	-12.529
ASB18	-16.562
ASB2	-10.714
ASB3	-12.273
ASB4	-8.651
ASB5	-15.442
ASB6	-4.536
ASB7	-13.243
ASB8	-8.014
ASB9	-13.671
ASCC1	-15.208
ASCC2	-7.496
ASCC3	-2.449
ASCL1	40.219
ASCL2	-16.216
ASCL3	-12.011
ASCL4	-14.893
ASCL5	-15.456
ASF1A	-3.333
ASF1B	-13.302
ASGR1	-4.318
ASGR2	-12.619
ASH1L	-12.373
ASH2L	7.630
ASIC1	-11.944
ASIC2	-9.809
ASIC3	-10.233
ASIC4	-14.317
ASIC5	-16.177
ASIP	-7.325
ASL	-3.964
ASMT	-9.558
ASMTL	-14.579
ASNS	-9.127
ASNSD1	-12.935
ASPA	-11.025
ASPDH	-12.889
ASPG	-1.297
ASPH	-19.082
ASPHD1	-10.737
ASPHD2	-10.621
ASPM	5.249
ASPN	-14.925
ASPRV1	-15.612
ASPSCR1	-7.767
ASRGL1	-12.522
ASS1	-9.352
ASTE1	-4.185
ASTL	-10.636
ASTN1	-14.718
ASTN2	-14.677
ASXL1	-12.278
ASXL2	-13.989
ASXL3	-12.420
ASZ1	-4.390
ATAD1	-16.364
ATAD2	-10.928
ATAD2B	-16.326
ATAD3A	-4.121
ATAD3B	-11.564
ATAD3C	-9.877
ATAD5	6.923
ATAT1	-4.197
ATCAY	-6.917
ATE1	-17.163
ATF1	-10.820
ATF2	-6.512
ATF3	-11.192
ATF4	-5.540
ATF5	-13.959
ATF6	-9.537
ATF6B	-11.967
ATF7	-11.885
ATF7IP	-10.639
ATF7IP2	-12.237
ATG10	-14.236
ATG101	-12.436
ATG12	-5.211
ATG13	-14.040
ATG14	-4.135
ATG16L1	-13.161
ATG16L2	-5.973
ATG2A	-3.778
ATG2B	-15.243
ATG3	-7.465
ATG4A	-15.148
ATG4B	-14.105
ATG4C	-16.713
ATG4D	-16.627
ATG5	-14.501
ATG7	-16.244
ATG9A	-4.411
ATG9B	-14.290
ATIC	26.587
ATL1	-12.968
ATL2	-1.607
ATL3	-7.439
ATM	-16.265
ATMIN	3.446
ATN1	-8.180
ATOH1	-6.279
ATOH7	-5.838
ATOH8	-10.134
ATOX1	-17.972
ATP10A	-11.419
ATP10B	-10.199
ATP10D	-7.104
ATP11A	-3.078
ATP11B	-12.814
ATP11C	-11.984
ATP12A	-5.949
ATP13A1	-8.407
ATP13A2	-13.201
ATP13A3	-3.898
ATP13A4	-13.332
ATP13A5	-17.393
ATP1A1	3.595
ATP1A2	-6.978
ATP1A3	-13.416
ATP1A4	-6.642
ATP1B1	-7.973
ATP1B2	-9.252
ATP1B3	-6.368
ATP1B4	-8.778
ATP23	1.293
ATP2A1	-13.804
ATP2A2	23.333
ATP2A3	-7.683
ATP2B1	-12.452
ATP2B2	-9.704
ATP2B3	-10.345
ATP2B4	-6.835
ATP2C1	-13.264
ATP2C2	-10.522
ATP4A	-10.975
ATP4B	-7.028
ATP5F1A	21.739
ATP5F1B	39.918
ATP5F1C	-4.624
ATP5F1D	9.503
ATP5F1E	27.469
ATP5IF1	-13.658
ATP5MC1	-5.950
ATP5MC2	-3.003
ATP5MC3	-4.067
ATP5MD	-10.080
ATP5ME	-6.744
ATP5MF	21.116
ATP5MG	-0.273
ATP5MGL	-6.152
ATP5MPL	-17.991
ATP5PB	-11.253
