GENE	BF
ANKS6	-4.184
ANKUB1	-2.618
ANKZF1	-7.097
ANLN	3.389
ANO1	-4.446
ANO10	-7.114
ANO2	-6.893
ANO3	-6.462
ANO4	-9.162
ANO5	-3.113
ANO6	-6.453
ANO7	-3.823
ANO8	-4.378
ANO9	-5.030
ANOS1	-5.983
ANP32A	-6.291
ANP32B	-5.010
ANP32D	-15.030
ANP32E	-0.917
ANPEP	-2.679
ANTKMT	-3.579
ANTXR1	-13.937
ANTXR2	-9.597
ANTXRL	-8.650
ANXA1	-2.620
ANXA10	-4.846
ANXA11	-3.868
ANXA13	-3.018
ANXA2	-4.724
ANXA2R	-6.079
ANXA3	-8.937
ANXA4	-12.495
ANXA5	-12.016
ANXA6	-11.878
ANXA7	-10.797
ANXA8	-6.560
ANXA8L1	-7.992
ANXA9	-4.371
AOAH	-6.981
AOC1	-6.979
AOC2	-5.938
AOC3	3.227
AOPEP	-2.832
AOX1	-11.076
AP1AR	-5.187
AP1B1	-5.765
AP1G1	-13.501
AP1G2	-9.015
AP1M1	-6.208
AP1M2	-4.853
AP1S1	-9.399
AP1S2	-8.461
AP1S3	-8.057
AP2A1	-3.630
AP2A2	-11.983
AP2B1	-3.154
AP2M1	-7.650
AP2S1	-3.393
AP3B1	-6.944
AP3B2	-0.371
AP3D1	-6.873
AP3M1	-12.144
AP3M2	-9.136
AP3S1	-5.666
AP3S2	-0.968
AP4B1	-5.114
AP4E1	-1.991
AP4M1	-10.158
AP4S1	-3.514
AP5B1	-5.096
AP5M1	-5.649
AP5S1	-12.421
AP5Z1	-12.707
APAF1	-3.477
APBA1	-6.264
APBA2	-4.785
APBA3	-2.725
APBB1	-7.653
APBB1IP	-15.037
APBB2	-12.172
APBB3	-4.907
APC	-4.083
APC2	-3.105
APCDD1	-1.716
APCDD1L	-5.761
APCS	-6.422
APEH	-7.218
APELA	-9.027
APEX1	-5.426
APEX2	-3.057
APH1A	-4.686
APH1B	-6.958
API5	-0.714
APIP	-13.519
APLF	-3.818
APLN	-4.929
APLNR	-4.699
APLP1	-6.411
APLP2	-10.152
APMAP	-11.042
APOA1	-7.301
APOA2	-4.125
APOA4	-8.757
APOA5	-6.267
APOB	-12.739
APOBEC1	-11.698
APOBEC2	-1.444
APOBEC3A	-8.123
APOBEC3B	-3.992
APOBEC3C	-6.871
APOBEC3D	-12.886
APOBEC3F	-4.937
APOBEC3G	-6.060
APOBEC3H	-3.110
APOBEC4	-4.300
APOBR	-1.975
APOC1	-1.758
APOC2	-7.644
APOC3	-1.577
APOC4	-10.851
APOD	-5.698
APOE	-6.291
APOF	-3.295
APOH	-7.297
APOL1	-8.173
APOL2	-6.385
APOL3	-2.107
APOL4	-6.615
APOL5	-4.346
APOL6	-6.448
APOLD1	-9.418
APOM	-7.833
APOO	-9.107
APOOL	-9.783
APP	-9.664
APPBP2	-8.454
APPL1	-6.202
APPL2	-2.077
APRT	-4.281
APTX	-5.133
AQP1	-6.039
AQP10	-5.855
AQP11	-8.063
AQP12A	-7.052
AQP12B	4.108
AQP2	-10.491
AQP3	-5.505
AQP4	-6.692
AQP5	-6.819
AQP6	-6.585
AQP7	-6.121
AQP8	-2.664
AQP9	-7.748
AQR	18.047
AR	-5.044
ARAF	-7.771
ARAP1	-10.118
ARAP2	-7.436
ARAP3	-8.504
ARC	-12.047
ARCN1	10.656
AREG	-8.479
AREL1	-9.782
ARF1	12.187
ARF3	-7.486
ARF4	-3.409
ARF5	-7.799
ARF6	-8.570
ARFGAP1	-11.372
ARFGAP2	-2.815
ARFGAP3	-7.063
ARFGEF1	-5.531
ARFGEF2	3.045
ARFGEF3	-7.208
ARFIP1	-16.049
ARFIP2	-3.862
ARFRP1	5.705
ARG1	-5.186
ARG2	-8.698
ARGFX	-7.050
ARGLU1	-2.652
ARHGAP1	-6.001
ARHGAP10	-4.495
ARHGAP11A	-5.476
ARHGAP11B	-3.296
ARHGAP12	-6.704
ARHGAP15	-8.486
ARHGAP17	-9.381
ARHGAP18	-8.211
ARHGAP19	-6.545
ARHGAP20	-4.935
ARHGAP21	-10.450
ARHGAP22	-5.581
ARHGAP23	-5.676
ARHGAP24	-3.474
ARHGAP25	-12.853
ARHGAP26	-5.650
ARHGAP27	1.736
